id,name,screen_name,location,description,url,followers_count,friends_count,created_at,verified
1486277207450341379,NAvomDienst,NavomDienst20,,"NAvomDienst 2.0 , AA Anästhesie, FOAMed, Politik, #proImpfung, gegen Schwurbel. Aus Leidenschaft vorne rechts im NEF",,1849,113,Wed Jan 26 09:58:04 +0000 2022,False
1408329310084255746,ECMO_Doc,doc_ecmo,,"I put large cannulas into people. Vaccines save lives. Assistant Prof at a university hospital. NHS trained now working in Germany. #ECMO, #ARDS",,7935,261,Fri Jun 25 07:40:57 +0000 2021,False
1467222499796697090,Hobbynotarzt,hobbynotarzt1,"Bayern, Deutschland",Orthopädie | Unfallchirurgie | Notfallmedizin | noafd | Querdenkersindterroristen | Trekkie,,1731,340,Sat Dec 04 20:01:30 +0000 2021,False
2931819413,Byung Jin Park,herrpandabaer,Brüder-Grimm-Stadt,Nur hundertsechzig Zeichen für die Biografie? Ich habe zweihundertvierzig Seiten geschrieben und es ist nur Teil eins...,https://t.co/PbV6Of1rEL,15624,486,Fri Dec 19 10:33:15 +0000 2014,False
4015535517,Julia Klaus,julia__klaus,Mainz,"Factchecking @ZDFheute | AfD, Extremismus, Polizei | war @djsde | Threema: J5T9AEDX | kein ZDF-Account",,1453,1854,Thu Oct 22 08:23:49 +0000 2015,False
128026256,Chan-jo Jun,Anwalt_Jun,"Würzburg, Deutschland",Rechtsanwalt im IT-Recht - verklagt Plattformen für Hasskriminalität und entlarvt #QuatschJura. Reagiert auf ad hominem mit radikaler Freundlichkeit oder Block.,https://t.co/kK3oTkuSDf,58343,734,Tue Mar 30 22:17:41 +0000 2010,False
19618471,Lars Wienand,LarsWienand,Berlin/Westerwald,"Leitender Redakteur Recherche @TOnline. Früher™ Rhein-Zeitung. SGE-Fan. Dankbar für Tipps, hetzt manchen Videos hinterher. #verification #tuesdayquiz",https://t.co/lZEpFshs4A,29824,1577,Tue Jan 27 21:40:43 +0000 2009,True
708972032990552065,Christoph Andersen,Doc_Andersen,Berlin,"Digitalist & Innovationist; Dr.; previously Senior Manager @capgeminiDE, CIO @LH_Potsdam & Manager with #Syncwork, Onko Intensiv @ChariteBerlin, Twittere privat",,844,602,Sun Mar 13 11:04:39 +0000 2016,False
1447277043171921921,StellaaWellaa,StellaaWellaa,,"Notaufnahmeschwester. 

Linke Nudel ;) 

Bunte Socken - Fan",,1197,69,Sun Oct 10 19:05:42 +0000 2021,False
895814938995957760,Thread Reader App,threadreaderapp,Wherever threads are written..,"I'm a 🤖 to help you read threads more easily. Reply to any tweet of a thread and mention me with the ""unroll"" keyword and I'll give you a link back 😀",https://t.co/7Ct2VXMx64,532120,1280,Fri Aug 11 01:11:39 +0000 2017,False
